"","Year","Value"
"685",193701,-0.16
"686",193702,0.17
"687",193703,-0.21
"688",193704,-0.06
"689",193705,0.11
"690",193706,0.18
"691",193707,0.15
"692",193708,0.2
"693",193709,0.3
"694",193710,0.28
"695",193711,0.07
"696",193712,-0.08
"697",193801,0.09
"698",193802,0.09
"699",193803,0.21
"700",193804,0.23
"701",193805,0.05
"702",193806,-0.05
"703",193807,0.01
"704",193808,0.12
"705",193809,0.15
"706",193810,0.15
"707",193811,0.13
"708",193812,-0.32
"709",193901,-0.12
"710",193902,-0.05
"711",193903,-0.25
"712",193904,-0.12
"713",193905,0
"714",193906,-0.01
"715",193907,0.07
"716",193908,0.11
"717",193909,0.12
"718",193910,0.01
"719",193911,0.15
"720",193912,0.69
"721",194001,-0.27
"722",194002,0.05
"723",194003,0.09
"724",194004,0.17
"725",194005,0.05
"726",194006,0.13
"727",194007,0.17
"728",194008,0.06
"729",194009,0.18
"730",194010,0.11
"731",194011,0.14
"732",194012,0.28
"733",194101,0.18
"734",194102,0.33
"735",194103,0.1
"736",194104,0.19
"737",194105,0.22
"738",194106,0.17
"739",194107,0.21
"740",194108,0.18
"741",194109,0.11
"742",194110,0.35
"743",194111,0.17
"744",194112,0.13
"745",194201,0.3
"746",194202,-0.02
"747",194203,0.14
"748",194204,0.15
"749",194205,0.14
"750",194206,0.19
"751",194207,0.07
"752",194208,0.01
"753",194209,0.16
"754",194210,0.25
"755",194211,0.29
"756",194212,0.19
"757",194301,-0.13
"758",194302,0.27
"759",194303,0.05
"760",194304,0.27
"761",194305,0.19
"762",194306,-0.01
"763",194307,0.13
"764",194308,0.16
"765",194309,0.18
"766",194310,0.39
"767",194311,0.3
"768",194312,0.44
"769",194401,0.5
"770",194402,0.36
"771",194403,0.37
"772",194404,0.17
"773",194405,0.28
"774",194406,0.24
"775",194407,0.22
"776",194408,0.18
"777",194409,0.38
"778",194410,0.35
"779",194411,0.12
"780",194412,0.01
"781",194501,0.09
"782",194502,-0.16
"783",194503,0.04
"784",194504,0.22
"785",194505,0.12
"786",194506,0.11
"787",194507,0.08
"788",194508,0.29
"789",194509,0.19
"790",194510,0.24
"791",194511,0.14
"792",194512,-0.14
"793",194601,0.31
"794",194602,0.15
"795",194603,0.02
"796",194604,0.36
"797",194605,0.01
"798",194606,0.03
"799",194607,0.05
"800",194608,0.07
"801",194609,0.02
"802",194610,0.09
"803",194611,0.05
"804",194612,-0.41
"805",194701,-0.3
"806",194702,-0.11
"807",194703,0.15
"808",194704,0.1
"809",194705,-0.02
"810",194706,-0.01
"811",194707,0.01
"812",194708,-0.03
"813",194709,-0.03
"814",194710,0.26
"815",194711,0.02
"816",194712,-0.12
"817",194801,0.24
"818",194802,-0.1
"819",194803,-0.23
"820",194804,0.01
"821",194805,0.3
"822",194806,0.09
"823",194807,0.05
"824",194808,0.11
"825",194809,-0.01
"826",194810,-0.02
"827",194811,0.03
"828",194812,-0.15
"829",194901,0.28
"830",194902,-0.13
"831",194903,-0.09
"832",194904,0.06
"833",194905,0.08
"834",194906,-0.12
"835",194907,-0.06
"836",194908,0.02
"837",194909,-0.06
"838",194910,0.05
